filename,width,height,class,xmin,ymin,xmax,ymax
63.jpeg,300,168,dog_sitting,112,18,192,160
77.jpeg,229,220,dog_sitting,41,20,216,213
76.jpeg,284,177,dog_sitting,127,19,221,177
62.jpeg,180,280,dog_sitting,43,52,145,191
48.jpeg,275,183,dog_sitting,98,38,164,174
74.jpeg,275,183,dog_sitting,146,45,245,183
60.jpeg,286,176,dog_sitting,156,37,240,166
61.jpeg,256,197,dog_sitting,135,63,238,187
75.jpeg,274,184,dog_sitting,102,38,169,166
49.jpeg,275,183,dog_sitting,104,31,183,180
71.jpeg,275,183,dog_sitting,119,17,228,172
65.jpeg,284,178,dog_sitting,90,16,262,170
59.jpeg,276,182,dog_sitting,100,32,175,177
58.jpeg,284,177,dog_sitting,69,17,210,171
64.jpeg,275,183,dog_sitting,42,3,177,177
70.jpeg,275,183,dog_sitting,75,43,179,136
66.jpeg,284,177,dog_sitting,130,15,219,163
72.jpeg,275,183,dog_sitting,93,60,156,143
8.jpeg,275,183,dog_sitting,68,9,223,176
9.jpeg,182,276,dog_sitting,32,12,149,272
73.jpeg,275,183,dog_sitting,109,47,202,164
67.jpeg,275,183,dog_sitting,89,34,188,176
28.jpeg,259,194,dog_sitting,142,88,206,183
14.jpeg,258,196,dog_sitting,123,50,204,187
15.jpeg,263,191,dog_sitting,67,56,148,141
29.jpeg,275,183,dog_sitting,87,22,182,134
17.jpeg,176,286,dog_sitting,12,59,134,228
16.jpeg,180,280,dog_sitting,34,90,150,221
12.jpeg,225,225,dog_sitting,41,35,208,216
13.jpeg,183,275,dog_sitting,35,36,173,269
11.jpeg,275,183,dog_sitting,60,44,157,179
39.jpeg,225,225,dog_sitting,1,9,161,222
38.jpeg,183,275,dog_sitting,34,64,165,230
10.jpeg,257,196,dog_sitting,67,14,221,190
21.jpeg,275,183,dog_sitting,75,25,161,177
35.jpeg,275,183,dog_sitting,113,88,179,174
34.jpeg,275,183,dog_sitting,116,34,220,183
20.jpeg,231,218,dog_sitting,37,39,205,217
36.jpeg,268,188,dog_sitting,77,28,166,185
22.jpeg,259,195,dog_sitting,132,48,187,178
23.jpeg,258,195,dog_sitting,81,27,159,181
37.jpeg,235,215,dog_sitting,55,47,202,203
33.jpeg,271,186,dog_sitting,116,39,168,143
27.jpeg,266,190,dog_sitting,90,38,156,186
26.jpeg,275,183,dog_sitting,42,40,137,159
32.jpeg,194,259,dog_sitting,25,75,119,230
24.jpeg,194,259,dog_sitting,43,21,128,172
30.jpeg,262,192,dog_sitting,90,44,195,191
18.jpeg,275,183,dog_sitting,27,35,152,180
19.jpeg,267,189,dog_sitting,119,31,267,184
31.jpeg,275,183,dog_sitting,67,28,205,175
25.jpeg,225,225,dog_sitting,94,84,140,152
42.jpeg,201,251,dog_sitting,27,28,185,220
56.jpeg,275,183,dog_sitting,92,54,188,167
4.jpeg,203,248,dog_sitting,22,20,153,218
57.jpeg,275,183,dog_sitting,102,70,190,183
5.jpeg,229,220,dog_sitting,62,29,171,219
43.jpeg,177,285,dog_sitting,29,47,163,233
80.jpeg,284,177,dog_sitting,130,67,205,162
69.jpeg,275,183,dog_sitting,108,34,255,177
7.jpeg,310,163,dog_sitting,105,1,205,163
55.jpeg,259,194,dog_sitting,17,50,122,189
41.jpeg,183,275,dog_sitting,16,42,160,240
40.jpeg,275,183,dog_sitting,125,63,176,125
6.jpeg,184,274,dog_sitting,35,76,175,244
54.jpeg,259,194,dog_sitting,34,11,259,186
68.jpeg,300,168,dog_sitting,77,35,202,150
50.jpeg,183,275,dog_sitting,25,82,136,217
2.jpeg,188,268,dog_sitting,52,31,138,192
44.jpeg,275,183,dog_sitting,98,75,185,172
78.jpeg,184,273,dog_sitting,15,62,121,221
79.jpeg,358,141,dog_sitting,233,19,340,131
45.jpeg,275,183,dog_sitting,55,31,181,174
51.jpeg,283,178,dog_sitting,58,39,154,161
3.jpeg,308,164,dog_sitting,115,8,189,159
47.jpeg,275,183,dog_sitting,63,17,169,175
1.jpeg,256,197,dog_sitting,96,39,180,178
53.jpeg,259,194,dog_sitting,76,12,222,194
52.jpeg,283,178,dog_sitting,34,14,150,178
46.jpeg,320,158,dog_sitting,132,11,225,154
